Operating System,Graphics Processing Type,Processor Speed,Color,GPU,Release Year,Brand,Processor,SSD Capacity,Price,Screen Size,RAM Size,Resolution
10,Integrated,2.6,Black,NVIDIA Quadro M1000M,2016,Lenovo,7,256,971,15.6,16,2073600
11,Integrated,3,Silver,Intel UHD Graphics,2021,HP,3,256,1022.1,15.6,8,2073600
11.5,Integrated,1.6,Black,Intel UHD Graphics 620,2019,Lenovo,5,128,962.19,13.3,8,2073600
10,Dedicated,2.6,Black,NVIDIA GeForce GTX 970M,2015,PC Specialist,7,240,836.73,17.3,8,2073600
10.5,Integrated,1.6,Black,Intel UHD Graphics,2020,Acer,5,256,962.03,14,8,2073600
11,Integrated,1.8,Gray,Intel UHD Graphics 620,2021,Lenovo,7,256,1018.69,13.3,16,2073600
10.5,Integrated,2.7,Black,Intel HD Graphics 6000,2019,Lenovo,7,256,832.54,14,16,2073600
10.5,Integrated,2.4,Black,Intel HD Graphics 520,2016,Dell,5,250,773.97,14,8,2073600
11.5,Integrated,2.6,Black,Intel HD Graphics 620,2019,Dell,5,1000,731.51,13,16,786432
11,Integrated,2.1,Silver,AMD Radeon Vega 8,2021,Huawei,4,256,1011.88,14,8,2073600
11.5,Dedicated,2.7,Black,NVIDIA Quadro M520,2016,Lenovo,7,240,857.64,15.6,16,2073600
10,Integrated,2,Black,Intel HD Graphics 620,2018,Dell,7,2000,783.44,13,64,2073600
10.5,Integrated,1.6,Silver,Intel Iris Xe Graphics,2021,Dell,5,256,848.34,15.6,8,2073600
10,Integrated,2,Abyss Blue,Qualcomm Adreno 618,2022,Lenovo,5,128,1022.07,13.3,8,2073600
10.5,Integrated,1.7,Silver,Intel UHD Graphics 620,2017,HP,5,256,1066.83,12.3,8,4990464
10.5,Integrated,3.5,Black,Intel HD Graphics,2020,Dell,5,256,1362.77,15.6,16,2073600
10.5,Integrated,2,Black,Intel HD Graphics,2020,Dell,5,512,1362.77,14,16,1049088
11,Integrated,2.4,Gray,Intel Iris Xe Graphics,2022,Lenovo,5,512,1260.56,14,8,2073600
10.5,Dedicated,1.8,Black,NVIDIA Quadro P520,2020,Lenovo,7,512,1209.49,15.6,16,2073600
11,Dedicated,4.2,Grey,NVIDIA GeForce RTX 3050,2022,Dell,4,256,1192.33,15.6,8,2073600
11.5,Dedicated,2.6,Gray,NVIDIA Quadro T2000,2019,Dell,7,2000,1346.07,15.6,32,8294400
11,Integrated,3,Gray,Intel UHD Graphics,2021,HP,3,256,1120.73,15.6,8,1049088
