Operating System,Graphics Processing Type,Processor Speed,Color,GPU,Release Year,Brand,Processor,SSD Capacity,Price,Screen Size,RAM Size,Resolution
Windows 10 Pro,Integrated/On-Board Graphics,2.60 GHz,Black,Intel HD Graphics 500,2016,Lenovo,Intel Core i7 6th Gen.,256 GB,ILS 953.79,14 in,8 GB,1920 x 1080
Windows + Ubuntu,Integrated/On-Board Graphics,Various,Any,Intel HD Graphics,Any,Intel,INTEL CORE I5,120 GB - 500 GB,ILS 543.83,12.5-15.6,8 GB/ 16 GB,ANY
Windows 11 Pro,Integrated/On-Board Graphics,1.60GHz,Black,Intel UHD Graphics 620,2019,Lenovo,Intel Core i5 8th Gen.,256 GB,"ILS 1,087.70",13.3 in,8 GB,1920 x 1080
Windows 10 Pro,Integrated/On-Board Graphics,2.80 GHz,Black,Intel HD Graphics 620,2017,Lenovo,Intel Core i7-7600U,512 GB,ILS 817.68,14 in,16 GB,1920 x 1080
Windows 10 Pro,Integrated/On-Board Graphics,1.80 GHz,Silver,Intel UHD Graphics,2020,Dell,Intel Core i7 10th Gen.,256 GB,"ILS 1,022.10",14 in,16 GB,1920 x 1080
Windows 11,Integrated/On-Board Graphics,2.40GHz,Black,Nvidia GT 920M,2019,Dell,Intel Core i7 5th Gen.,256 GB,ILS 916.22,15.6 in,8 GB,1366 x 768
Windows 11 Home,Integrated/On-Board Graphics,1.80 GHz,Silver,Intel UHD Graphics 620,2014,HP,Intel Core i7 8th Gen.,512 GB,ILS 851.72,15.6 in,8 GB,1920 x 1080
Windows 11 Home,Integrated/On-Board Graphics,1.80 GHz,Silver,Intel UHD Graphics 620,2014,HP,Intel Core i7 8th Gen.,256 GB,ILS 919.86,15.6 in,16 GB,1920 x 1080
Windows 11 Pro,Dedicated Graphics,2.70 GHz,Black,Nvidia M1200,2018,Dell,Intel Core i7 6th Gen.,512 GB,ILS 885.82,15.6 in,32 GB,1920 x 1080
Windows 11 Home,Integrated/On-Board Graphics,2.70 GHz,Silver,Intel HD Graphics,2022,Fusion5,Intel Core 2 Quad,512 GB,ILS 836.73,15.6 in,12 GB,1920 x 1080
Windows 11 Pro,Integrated/On-Board Graphics,1.90 GHz,Black,Intel UHD Graphics 620,2019,Dell,Intel Core i5 8th Gen.,256 GB,ILS 832.54,13.3 in,8 GB,1920 x 1080
Windows 11 Pro,Integrated/On-Board Graphics,2.60 GHz,Black,Intel HD Graphics 620,2018,Dell,Intel Core i5 7th Gen.,1 TB,ILS 731.51,12.5 in,16 GB,1920 x 1080
Windows 10 Pro,Integrated/On-Board Graphics,2.70 GHz,Gray,Intel HD Graphics 3000,2013,Dell,Intel Core i7 2nd Gen.,256 GB,ILS 953.93,14 in,16 GB,1366 x 768
Windows 11 Home,Integrated/On-Board Graphics,1.90 GHz,Black,Intel UHD Graphics 620,2019,Lenovo,Intel Core i7 8th Gen.,256 GB,ILS 851.72,14 in,16 GB,1920 x 1080
Windows 11 Pro,Integrated/On-Board Graphics,2.40 GHz,Black,Intel HD Graphics 5500,2018,Dell,Intel Core i5 5th Gen.,1 TB,ILS 626.92,13 in,16 GB,1366 x 768
Windows 11 Pro,Integrated/On-Board Graphics,1.70 GHz,Silver,Intel HD Graphics,2018,HP,Intel Core i5 8th Gen.,512 GB,"ILS 1,045.87",14 in,16 GB,1920 x 1080
Windows 10,Integrated/On-Board Graphics,2.80 GHz,Black,Nvidia GeForce GTX 1070,2016,Acer,Intel Core i7-7700HQ,None,"ILS 1,032.32",15.6 in,16 GB,1920 x 1080
Windows 11 Home,Integrated/On-Board Graphics,2.10 GHz,White,AMD Radeon Vega 8,2021,Dell,AMD Ryzen 5,512 GB,"ILS 1,039.14",15.6 in,12 GB,1920 x 1080
Windows 10 Pro,Integrated/On-Board Graphics,2.40 GHz,Black,Intel Iris Xe Graphics,2022,Dell,Intel Core i5 11th Gen.,256 GB,"ILS 1,018.69",15.6 in,8 GB,1920 x 1080
Windows 10 Pro,Integrated/On-Board Graphics,1.80 GHz,Silver,Intel UHD Graphics,2020,Dell,Intel Core i7 10th Gen.,256,"ILS 1,022.07",14 in,16 GB,1366 x 768
Windows 10,Integrated/On-Board Graphics,2.20 GHz,SILVER GREY,NVIDIA GeForce GT 555M,2013,Dell,Intel Core i7 2nd Gen.,480GB,ILS 941.32,17.3 in,8 GB,1600 x 900
Windows 10 Pro,Integrated/On-Board Graphics,2.80 GHz,SILVER,Intel HD Graphics,2018,Lenovo,Intel Core i7 7th Gen.,512 GB,ILS 817.68,14 in,12 GB,2560 x 1440
Windows 11 Pro,Integrated/On-Board Graphics,2.40 GHz,Black,Intel HD Graphics 520,2018,Dell,Intel Core i5 6th Gen.,1 TB,ILS 626.92,13 in,16 GB,1366 x 768
Windows 10 Pro,Integrated/On-Board Graphics,2.20 GHz,Black,Intel HD Graphics 5500,2015,Dell,Intel Core i5 5th Gen.,256 GB,ILS 851.72,15.6 in,16 GB,1366 x 768
Windows 10 Pro,Integrated/On-Board Graphics,2.20 GHz,Black,Intel HD Graphics 5500,2015,Dell,Intel Core i5 5th Gen.,256 GB,ILS 851.72,15.6 in,16 GB,1366 x 768
Windows 11 Home,Integrated/On-Board Graphics,2.70 GHz,Gray,"Intel® UHD Graphics 600, 250-750MHz",2021,CHUWI,Intel N5100,256 GB,"ILS 1,022.07",14 in,8 GB,2160 x 1440
Windows 10 Pro,Integrated/On-Board Graphics,2.80 GHz,SILVER,Intel HD Graphics,2018,Lenovo,Intel Core i7 7th Gen.,512 GB,ILS 817.68,14 in,12 GB,2560 x 1440
Windows 10,Integrated/On-Board Graphics,2.60 GHz,Black,NVIDIA Quadro M1000M,2016,Lenovo,Intel Core i7 6th Gen.,256 GB,ILS 971.00,15.6 in,16 GB,1920 x 1080
Windows 11 Home,Integrated/On-Board Graphics,3.00 GHz,Silver,Intel UHD Graphics,2021,HP,Intel Core i3 11th Gen.,256 GB,"ILS 1,022.10",15.6 in,8 GB,1920 x 1080
Windows 11 Pro,Integrated/On-Board Graphics,1.60GHz,Black,Intel UHD Graphics 620,2019,Lenovo,Intel Core i5 8th Gen.,128 GB,ILS 962.19,13.3 in,8 GB,1920 x 1080
Windows 10,Dedicated Graphics,2.60 GHz,Black,NVIDIA GeForce GTX 970M,2015,PC Specialist,Intel Core i7 Quad Core Mobile,240GB,ILS 836.73,17.3 in,8 GB,1920 x 1080
Windows 10 Pro,Integrated/On-Board Graphics,1.60 GHz,Black,Intel UHD Graphics,2020,Acer,Intel Core i5 10th Gen.,256 GB,ILS 962.03,14 in,8 GB,1920 x 1080
Not Included,Integrated/On-Board Graphics,1.20 GHz,Gray,Intel HD 615 Graphics,2017,HP,Intel Core m3 7th Gen.,128 GB,"ILS 1,022.10",11.6 in,8 GB,1366 x 768
Windows 11 Home,Integrated/On-Board Graphics,1.80 GHz,Gray,Intel UHD Graphics 620,2021,Lenovo,Intel Core i7 8th Gen.,256 GB,"ILS 1,018.69",13.3 in,16 GB,1920 x 1080
Windows 10 Pro,Integrated/On-Board Graphics,2.70 GHz,Black,Intel HD Graphics 6000,2019,Lenovo,Intel Core i7 7th Gen.,256 GB,ILS 832.54,14 in,16 GB,1920 x 1080
Windows 10 Pro,Integrated/On-Board Graphics,2.40 GHz,Black,Intel HD Graphics 520,2016,Dell,Intel Core i5 6th Gen.,250 GB,ILS 773.97,14 in,8 GB,1920 x 1080
Windows 11 Pro,Integrated/On-Board Graphics,2.60 GHz,Black,Intel HD Graphics 620,2019,Dell,Intel Core i5 7th Gen.,1 TB,ILS 731.51,13 in,16 GB,1024 x 768
Windows 11 Home,Integrated/On-Board Graphics,2.10 GHz,Silver,AMD Radeon Vega 8,2021,Huawei,AMD Ryzen 5,256 GB,"ILS 1,011.88",14 in,8 GB,1920 x 1080
Windows 11 Pro,Dedicated Graphics,2.70 GHz,Black,NVIDIA Quadro M520,2016,Lenovo,Intel Core i7 7th Gen.,240GB,ILS 857.64,15.6 in,16 GB,1920 x 1080
Windows 10,Integrated/On-Board Graphics,3.90 GHz (2.80 GHz Base Frequency),Black,Intel HD Graphics 620,2022 (Refurbished),Dell,Intel Core i7 7th Gen.,2 TB,ILS 783.44,"14"" HD Matte Display",64 GB,1920 x 1080
Windows 10 Pro,Integrated/On-Board Graphics,1.60 GHz,Silver,Intel Iris Xe Graphics,2021,Dell,Intel Core i5 10th Gen.,256 GB,ILS 848.34,15.6 in,8 GB,1920 x 1080
Chrome OS,Integrated/On-Board Graphics,Up to 2.5GHz,Abyss Blue,Qualcomm Adreno 618,2022,Lenovo,Qualcomm Snapdragon 7C,128 GB,"ILS 1,022.07",13.3 in,8 GB,1920 x 1080
Windows 10 Pro,Integrated/On-Board Graphics,1.70 GHz,Silver,Intel UHD Graphics 620,2017,HP,Intel Core i5 8th Gen.,256 GB,"ILS 1,066.83",12.3 in,8 GB,2736 x 1824
Windows 10 Pro,Integrated/On-Board Graphics,3.50 GHz,Black,Intel HD Graphics,(Refurbished in 2022 by MAR),Dell,Intel Core i5 8th Gen.,256 GB,"ILS 1,362.77",15.6 in,16 GB,1920 x 1080
Windows 10 Pro,Integrated/On-Board Graphics,3.00 GHz (1.60 GHz Base Frequency),Black,Intel HD Graphics,(Refurbished in 2023 by MAR),Dell,Intel Core i5 7th Gen.,512 GB,"ILS 1,362.77",14 in,16 GB,1366 x 768
Windows 11 Home,Integrated/On-Board Graphics,2.40 GHz,Gray,Intel Iris Xe Graphics,2022,Lenovo,Intel Core i5 11th Gen.,512 GB,"ILS 1,260.56",14 in,8 GB,1920 x 1080
Windows 10 Pro,Hybrid Graphics,1.80 GHz,Black,NVIDIA Quadro P520,2020,Lenovo,Intel Core i7 10th Gen.,512 GB,"ILS 1,209.49",15.6 in,16 GB,1920 x 1080
Windows 11 Home,Dedicated Graphics,4.20 GHz,Grey,NVIDIA GeForce RTX 3050,2022,Dell,AMD Ryzen 5,256 GB,"ILS 1,192.33",15.6 in,8 GB,1920 x 1080
Windows 11 Pro,Dedicated Graphics,2.60 GHz,Gray,NVIDIA Quadro T2000,2019,Dell,Intel Core i7-9850H,2 TB,"ILS 1,346.07",15.6 in,32 GB,3840 x 2160
Windows 11 Home,Integrated/On-Board Graphics,3.00 GHz,Gray,Intel UHD Graphics,2021,HP,Intel Core i3 11th Gen.,256 GB,"ILS 1,120.73",15.6 in,8 GB,1366 x 768
Windows 11 Pro,Integrated/On-Board Graphics,1.60 GHz,Silver,Intel UHD Graphics 620,2019,Dell,Intel Core i5 8th Gen.,256 GB,"ILS 1,124.28",14 in,8 GB,1920 x 1080
Windows 11 Pro,Integrated/On-Board Graphics,2.20 GHz,Silver,NVIDIA GeForce GTX 1050 Ti,2019,Dell,Intel Core i7 8th Gen.,256 GB,"ILS 1,277.59",15.6 in,16 GB,1920 x 1080
Windows 10 Professional,Integrated/On-Board Graphics,2.40 GHz,Black,Intel HD Graphics 520,2017,Dell,Intel Core i5 6th Gen.,256 GB,ILS 711.22,12.5 in,8 GB,1366 x 768
Windows 11 Pro,Integrated/On-Board Graphics,2.40 GHz,Black,Intel HD Graphics 520,2018,Dell,Intel Core i5 6th Gen.,1 TB,ILS 626.92,13 in,16 GB,1366 x 768
Windows 10 Pro,Integrated/On-Board Graphics,3.00 GHz,Gray,Intel Iris Xe Graphics,2021,Dell,Intel Core i7 11th Gen.,512 GB,"ILS 1,311.70",14 in,16 GB,1920 x 1080
Windows 11 Home,Integrated/On-Board Graphics,2.40 GHz,Silver,Intel UHD Graphics 630,2020,Dell,Intel Core i5 9th Gen.,256 GB,"ILS 1,325.32",15.6 in,8 GB,1920 x 1080
Windows 11 Pro,Integrated/On-Board Graphics,2.60 GHz,Black,Intel HD Graphics 620,2018,Dell,Intel Core i5 7th Gen.,1 TB,ILS 626.92,12.5 in,16 GB,1920 x 1080
Windows 10 Pro,Hybrid Graphics,2.60 GHz,Silver,Intel UHD Graphics 630,2019,Dell,Intel Core i7 9th Gen.,256 GB,"ILS 1,107.28",15.6,16 GB,1920 x 1080
Windows 11,Integrated Intel Graphics,Up to 4.1 GHz,Silver,Integrated Intel UHD Graphics,2022,Acer,Core i3-1115G4,Upto 1 TB,"ILS 1,291.25",15.6 in,Up to 20 GB,Full HD (1920 x 1080)
Windows 11 Pro,Integrated/On-Board Graphics,4.20 GHz,Silver,Intel Iris Xe Graphics,2021,HP,Intel Core i7 11th Gen.,512 GB,"ILS 1,175.42",14 in,16 GB,1920 x 1080
Windows 10 Pro,Integrated/On-Board Graphics,4.9,Silver,Intel Iris Xe Graphics,2021,HP,Intel Core i7 10th Gen.,512 GB,"ILS 1,379.84",14 in,16 GB,1920 x 1080
Windows 10 Pro,Integrated/On-Board Graphics,3.00 GHz,Black,Intel Iris Xe Graphics,2021,Dell,Intel Core i7 11th Gen.,512 GB,"ILS 1,277.63",13.3 in,16 GB,1920 x 1080
Windows 10,Integrated/On-Board Graphics,2.80 GHz,Blue,Intel Iris Xe Graphics,2021,Samsung,Intel Core i7 11th Gen.,256 GB,"ILS 1,318.51",13.3 in,8 GB,1920 x 1080
Windows 10 Professional,Integrated/On-Board Graphics,1.60 GHz,Black,Intel UHD Graphics 620,2018,Dell,Intel Core i5 8th Gen.,256 GB,"ILS 1,192.33",14 in,8 GB,1920 x 1080
Windows 10 Professional,Integrated/On-Board Graphics,1.60 GHz,Black,Intel UHD Graphics 620,2018,Dell,Intel Core i5 8th Gen.,256 GB,"ILS 1,192.33",14 in,8 GB,1920 x 1080
Windows 10 Pro,Integrated/On-Board Graphics,3.00 GHz,Black,Intel UHD Graphics 620,(Refurbished in 2022 by MAR),Dell,Intel Core i5 6th Gen.,256 GB,"ILS 1,192.42",15.6 in,16 GB,1920 x 1080
Windows 10 Pro,Integrated/On-Board Graphics,2.60 GHz,Black,Intel(R) UHD Graphics 5300,2019,Dell,Intel Core M,1 TB,"ILS 1,257.18",11.6 in,16 GB,1920 x 1080
Windows 11 Pro,Integrated/On-Board Graphics,1.6 GHz,Silver,Intel UHD Graphics 620,2019,Dell,Intel Core i5 8th Gen.,512 GB,"ILS 1,172.01",14 in,16 GB,1920 x 1080
Windows 11,Dedicated Graphics,Up to 2.8GHz,Black,Intel UHD Graphics,2022,Dell,Intel Celeron N4020,up to 1TB SSD,"ILS 1,223.11",15.6 in,up to 16 GB,1366 x 768
Windows 10 Pro,Dedicated Graphics,2.60 GHz,Silver,NVIDIA Quadro T1000,2021,HP,Intel Core i7 10th Gen.,256 GB,"ILS 1,380.60",15.6 in,16 GB,1920 x 1080
Windows 10 Pro,Integrated/On-Board Graphics,1.70 GHz,Black,Intel UHD Graphics,2019,Lenovo,Intel Core i5,256 GB,"ILS 1,255.09",14 in,8 GB,1920 x 1080
Windows 11 Pro,Integrated/On-Board Graphics,2.60 GHz,Silver,NVIDIA GeForce GTX 1050,2017,Microsoft,Intel Core i7 8th Gen.,512 GB,"ILS 1,107.28",13.5 in,16 GB,3000 x 2000
Windows 10,Integrated/On-Board Graphics,3.0 GHz,White,NVIDIA GeForce RTX 2060,2020,ASUS,AMD Ryzen 9 4th Gen.,1 TB,"ILS 1,107.28",14 in,16 GB,1920 x 1080
Windows 11 Pro,Integrated/On-Board Graphics,1.30 GHz,Black and Silver,Intel HD Graphics 615,2019,Dell,Intel Core i7 7th Gen.,500 GB,"ILS 1,103.46",13.3 in,16 GB,1920 x 1080
Windows 11 Pro,Integrated/On-Board Graphics,2.60 GHz,Black,Intel HD Graphics 620,2018,Dell,Intel Core i5 7th Gen.,1 TB,ILS 731.51,12.5 in,16 GB,1920 x 1080
Windows 11 Home,Integrated/On-Board Graphics,1.30 GHz,Gray,Intel Iris Xe Graphics,2022,Lenovo,Intel Core i5 12th Gen.,512 GB,"ILS 1,226.52",14 in,8 GB,1920 x 1080
Windows 10 Pro,Integrated/On-Board Graphics,4.9,Silver,Intel Iris Xe Graphics,2021,HP,Intel Core i7 10th Gen.,512 GB,"ILS 1,362.80",14 in,16 GB,1920 x 1080
Windows 11 Home,Integrated/On-Board Graphics,2.40 GHz,Silver,Intel HD Graphics,2021,Microsoft,Intel Core i5 11th Gen.,128 GB,"ILS 1,362.63",13 in,8 GB,2880 x 1920
