Operating System,Graphics Processing Type,Processor Speed,Color,GPU,Release Year,Brand,Processor,SSD Capacity,Price,Screen Size,RAM Size,Resolution
Windows 10,Integrated/On-Board Graphics,4.40 GHz,Platinum,Intel Iris Xe Graphics,2021,Microsoft,Core i5 11th Gen,256 GB,"ILS 2,510.14",13.5 in,8 GB,2256 x 1504
Windows 11 Home,Dedicated Graphics,2.40 GHz,Black,NVIDIA GeForce GTX 1650,2022,HP,Intel Core i5 12th Gen.,512 GB,"ILS 2,555.25",15.6 in,8 GB,1920 x 1080
Windows 11,Dedicated Graphics,1.80 GHz,Black,NVIDIA Quadro P520 2GB VRAM,2021,Lenovo,Intel Core i7 10th Gen.,1 TB,"ILS 2,316.73",14 in,32 GB,3840 x 2160
Windows 10 Home,Integrated/On-Board Graphics,4.70 GHz,Black,Intel Iris Xe Graphics,2021,LG,Intel Core i5 11th Gen.,512 GB,"ILS 2,381.50",14 in,16 GB,1920 x 1200
Windows 11 Home,Integrated/On-Board Graphics,2.80 GHz,Natural silver,Intel Iris Xe Graphics,2022,HP,Intel Core i7 11th Gen.,512 GB,"ILS 2,453.04",15.6 in,16 GB,1366 x 768
Windows 11 Pro,Integrated/On-Board Graphics,3.00 GHz,Stone Grey,Intel HD Graphics,2022,Lenovo,Intel Core i7 11th Gen.,1 TB,"ILS 2,551.85",14 in,16 GB,1920 x 1080
Windows 11 Pro,Integrated/On-Board Graphics,1.70 GHz,Silver,Intel UHD Graphics 620,2020,HP,Intel Core i5 8th Gen.,1 TB,"ILS 1,254.46",13 in,32 GB,1920 x 1080
Windows 11 Home,Dedicated Graphics,2.30 GHz,Silver,NVIDIA GeForce RTX 3050 Ti,2021,Dell,Intel Core i7 11th Gen.,1 TB,"ILS 2,844.85",15.6 in,16 GB,3456 x 2160
Windows 11 Home,Integrated/On-Board Graphics,3.00 GHz,Black,Intel Iris Xe Graphics,2021,Microsoft,Intel Core i7 11th Gen.,256 GB,"ILS 2,725.60",13 in,16 GB,2880 x 1920
Windows 10 Home,Integrated/On-Board Graphics,4.50 GHz,Blue,Intel Iris Xe Graphics,2021,ASUS,Intel Core i5 11th Gen.,512 GB,"ILS 2,793.74",14 in,8 GB,1920 x 1080
Windows 10 Home,Integrated/On-Board Graphics,4.50 GHz,Blue,Intel Iris Xe Graphics,2021,ASUS,Intel Core i5 11th Gen.,512 GB,"ILS 2,895.95",14 in,8 GB,1920 x 1080
"Home, Windows 10",Dedicated Graphics,1.80 GHz,Silver,GTX 1050,2018,Lenovo,Intel Core i7 8th Gen.,512GB,"ILS 2,895.92",15.6 in,16 GB,3840 x 2160
Windows 11 Home,Dedicated Graphics,3.30 GHz,Black,NVIDIA GeForce RTX 3070,2022,Razer,AMD Ryzen 9 6000 Series,1 TB,"ILS 2,861.88",14 in,16 GB,2560 x 1440
Windows 11 Pro,Integrated/On-Board Graphics,3.00 GHz,Gray,Intel Iris Xe Graphics,2022,Dell,Intel Core i7 11th Gen.,512 GB,"ILS 2,895.95",14 in,16 GB,1920 x 1080
Windows 11 Home,Dedicated Graphics,3.20 GHz,Blue,NVIDIA GeForce RTX 3070,2021,Lenovo,AMD Ryzen 7,512 GB,"ILS 2,677.52",15.6 in,16 GB,1920 x 1080
Windows 11 Home,Integrated/On-Board Graphics,4.70 GHz,Silver,Intel Iris Xe Graphics,2021,Framework,Intel Core i7 11th Gen.,512 GB,"ILS 2,725.60",13.5 in,32 GB,2256 x 1504
Windows 10 Home,Dedicated Graphics,3.10 GHz,Gray,NVIDIA GeForce RTX 3070,2022,ASUS,AMD Ryzen 9,1 TB,"ILS 2,725.60",15.6 in,16 GB,2560 x 1440
Windows 10 Pro,Integrated/On-Board Graphics,2.80 GHz,Black,Intel Iris Xe Graphics,2021,Lenovo,Intel Core i7 11th Gen.,512 GB,"ILS 2,884.61",14 in,16 GB,1920 x 1200
Windows 10,Dedicated Graphics,3.30 GHz,Silver,NVIDIA GeForce RTX 3060,2021,ASUS,AMD Ryzen 9,1 TB,"ILS 2,725.60",14 in,16 GB,1920 x 1080
Windows 11 Pro,Integrated/On-Board Graphics,2.70 GHz,Gray,AMD Radeon™ 680M Graphics,2022,Lenovo,AMD Ryzen 7,512 GB,"ILS 2,725.57",13.3 in,16 GB,1920 x 1200
Windows 10,Dedicated Graphics,1.30 GHz,Platinum,NVIDIA GeForce GTX 1660 Ti,2020,Microsoft,Intel Core i7 10th Gen.,256 GB,"ILS 2,722.20",15 in,16 GB,3240 x 2160
Windows 10,Hybrid Graphics,1.30 GHz,Silver,NVIDIA GeForce GTX 1650 Max-Q,2020,Microsoft,Intel Core i7 10th Gen.,512 GB,"ILS 2,715.18",13.5 in,32 GB,3000 x 2000
Windows 11 Home,Dedicated Graphics,3.30 GHz,Black,NVIDIA GeForce RTX 3060,2021,Lenovo,AMD Ryzen 5 5000 Series,512 GB,"ILS 2,677.48",15.6 in,8 GB,1920 x 1080
Windows 11 Home,Dedicated Graphics,3.00 GHz,White,NVIDIA GeForce RTX 3060,2021,ASUS,AMD Ryzen 9,1 TB,"ILS 2,725.60",14 in,16 GB,1920 x 1080
Windows 10 Home,Integrated/On-Board Graphics,3.00 GHz,Black,Intel Iris Xe Graphics,2020,Lenovo,Intel Core i7 11th Gen.,512 GB,"ILS 2,827.78",14 in,16 GB,3840 x 2160
Windows 11 Home,Integrated/On-Board Graphics,4.70 GHz,Silver,Intel Iris Xe Graphics,2021,Framework,Intel Core i7 11th Gen.,500 GB,"ILS 2,725.60",13.5 in,16 GB,2256 x 1504
Windows 10 Home,Dedicated Graphics,3.30 GHz,Grey,NVIDIA GeForce RTX 3060,2021,ASUS,Intel Core i7 11th Gen.,1 TB,"ILS 2,886.71",15.6 in,16 GB,1920 x 1080
Windows 11 Pro,Dedicated Graphics,2.60 GHz,Silver,NVIDIA GeForce GTX 1650,2020,Dell,Intel Core i7 10th Gen.,512 GB,"ILS 2,824.41",15.6 in,16 GB,1920 x 1200
Windows 11 Pro,Integrated/On-Board Graphics,2.60 GHz,Silver,NVIDIA GeForce GTX 1650,2019,Dell,Intel Core i7 9th Gen.,256 GB,"ILS 2,719.36",15.6 in,16 GB,3840x2160
Windows 10,Dedicated Graphics,2.60 GHz,Black,NVIDIA GeForce RTX 2070,2020,ASUS,Intel Core i7 10th Gen.,512 GB,"ILS 2,725.60",15.6 in,16 GB,1920 x 1080
Windows 10,Dedicated Graphics,4.50 GHz,White,NVIDIA GeForce RTX 2060,2019,Alienware,Intel Core i7 9th Gen.,512 GB,"ILS 2,895.95",15.6 in,16 GB,1920 x 1080
Windows 11 Pro,Integrated/On-Board Graphics,3.40 GHz,Graphite,Intel Iris Xe Graphics,2022,Samsung,Intel Core i7 12th Gen.,512 GB,"ILS 2,719.36",14 in,16 GB,1920 x 1080
Windows 10 Pro,Dedicated Graphics,2.70 GHz,Silver,Nvidia Quadro P1000M,2018,HP,Intel Xeon,250 GB,"ILS 2,865.79",15.6 in,32 GB,1920 x 1080
Windows 10,RTX 2060,2.60 GHz,Black,NVIDIA GeForce RTX 2060,2020,Razer,Intel Core i7 10th Gen.,512 GB,"ILS 2,928.54",15.6 in,16 GB,1920 x 1080
Windows 10 Home,Dedicated Graphics,3.30 GHz,Black,AMD Radeon RX 6800M,2021,ASUS,AMD Ryzen 9,1 TB,"ILS 2,928.54",15.6 in,16 GB,2560 x 1440
Windows 11 Pro,Integrated/On-Board Graphics,4.40 GHz,Black,AMD Radeon Graphics,2022,Lenovo,AMD Ryzen 7,2 TB,"ILS 2,381.50",15.6 in,64 GB,1920 x 1080 (Full HD)
Windows 11 Pro,Integrated/On-Board Graphics,4.40 GHz,platinum Silver,Intel® Iris® Xe Graphics,2022,Dell,Intel Core i7 12th Gen.,2 TB,"ILS 2,895.95","16""",64 GB,1920 x 1200
Windows 11 Home,Dedicated Graphics,Up to 4.40GHz,Mica Silver,NVIDIA GeForce GTX 1650,2022,HP,12th Gen Intel Core i5-12450H,Up to 2TB,"ILS 2,381.50",15.6 inches,Up to 64GB,1920 x 1080
Windows 10,NVIDIA GeForce GTX 1650,"3.0 GHz Base, up to 4.0 GHz BOOST",Black,NVIDIA GeForce GTX 1650,2021,Acer,AMD Ryzen 5 4600H,up to 1 TB,"ILS 2,585.92",15.6 in,up to 32 GB,1920 x 1080
Windows 11 Home,Integrated/On-Board Graphics,2.10 GHz,Silver,Intel Iris Xe Graphics,2022,Samsung,Intel Core i7 12th Gen.,512 GB,"ILS 3,134.27",15.6 in,8 GB,1920 x 1080
Windows 11 Home,Integrated/On-Board Graphics,2.10 GHz,Natural silver,Intel Iris Xe Graphics,2022,HP,Intel Core i7 12th Gen.,up to 2TB SSD,"ILS 2,981.13",15.6 in,up to 64GB,1920 x 1080
Windows 11 Pro,Integrated/On-Board Graphics,4.70 GHz,Silver,Intel Iris Xe Graphics,2022,HP,Intel Core i7 12th Gen.,2 TB,"ILS 2,793.74",15.6 in,64 GB,1920 x 1080
Windows 11 Pro,Integrated/On-Board Graphics,1.70 GHz,Silver,Intel Iris Xe Graphics,2022,HP,Intel Core i7 12th Gen.,2 TB,"ILS 2,790.34",13.3 in,8 GB,1920 x 1200
Windows 11 Home,Integrated/On-Board Graphics,2.30 GHz,Black,Intel Iris Xe Graphics,2022,ASUS,Intel Core i7 12th Gen.,512 GB,"ILS 3,052.68",14.5 in,12 GB,2880 x 1800
Windows 10 S,Integrated/On-Board Graphics,3.70 GHz,Silver,Intel UHD Graphics,2021,HP,Intel Core i3 11th Gen.,256 GB,"ILS 3,066.30",15.6 in,8 GB,1920 x 1080
Windows 11 Pro,Integrated/On-Board Graphics,2.30 GHz,Blue,AMD Radeon Graphics,2021,ASUS,AMD Ryzen 9 5900HX,1 TB,"ILS 3,066.27",14 in,16 GB,1920 x 1080
Windows 10 Home,Dedicated Graphics,2.60 GHz,Black,NVIDIA GeForce GTX 1650,2020,ASUS,Intel Core i7 9th Gen.,1 TB,"ILS 3,049.87",15.6 in,8 GB,1920 x 1080
Windows 10,Dedicated Graphics,3.10 GHz,Grey,NVIDIA GeForce RTX 3060,2019,ASUS,Intel Core i5-11300H,512 GB,"ILS 3,137.68",15.6 in,8 GB,1920 x 1080
Windows 10 Pro,Integrated/On-Board Graphics,4.10 GHz,Black,AMD Radeon Graphics,2021,Lenovo,AMD Ryzen 7,512 GB,"ILS 2,928.33",14 in,16 GB,1920 x 1080
Windows 11 Home,Dedicated Graphics,4.6GHz,Gray,NVIDIA® GeForce® RTX 3050Ti,2022,HP,Intel Core i7 11th Gen.,1 TB,"ILS 2,954.72",16.1 in,16 GB,1920 x 1080
Windows 10 Pro,Integrated/On-Board Graphics,4.40 GHz,Silver,Intel Iris Xe Graphics,2022,HP,Intel Core i5 11th Gen.,256 GB,"ILS 2,928.33",14 in,16 GB,1920 x 1080
Windows 10,Dedicated Graphics,1.80 GHz,Silver,NVIDIA GeForce MX150,2019,HP,Intel Core i7 8th Gen.,512 GB,"ILS 2,928.33",13.3 in,16 GB,1920 x 1080
Windows 10,NVIDIA GeForce GTX 1650,"2.4 GHz Base, up to 4.1 GHz BOOST",Black,NVIDIA GeForce GTX 1650,2020,Acer,Intel Core i5 9th Gen.,up to 1 TB,"ILS 2,619.99",15.6 in,up to 32 GB,1920 x 1080
"Home, Windows 10",Dedicated Graphics,2.20 GHz,Black,NVIDIA GeForce RTX 2060,2018,MSI,"Intel Core i7 8th Gen., Intel 8th Generation Core i7",512GB,"ILS 3,066.27",15.6 in,"16GB, 16 GB",1920 x 1080
Windows 10 Pro,Hybrid Graphics,2.70 GHz,TITAN Grey,NVIDIA Quadro T1000,2022,Dell,Intel Core i7 10th Gen.,512 GB,"ILS 3,056.08",15.6 in,32 GB,1920 x 1200
Windows 10 Pro,Integrated/On-Board Graphics,2.60 GHz,Black,Intel(R) UHD Graphics 5300,2019,Dell,Intel Core M,1 TB,"ILS 1,257.18",11.6 in,16 GB,1920 x 1080
Windows 11 Home,Dedicated Graphics,3.30 GHz,Phantom Blue,NVIDIA GeForce RTX 3050,2022,Lenovo,AMD Ryzen 5,512 GB,"ILS 2,224.74",15.6 in,8 GB,1920 x 1080
Windows 11 Home,Integrated/On-Board Graphics,1.50 GHz,Silver,Intel Iris Xe Graphics,2020,HP,Intel Core i7 8th Gen.,1 TB,"ILS 2,175.49",17.3 in,16 GB,1920 x 1080
Windows 10 Pro,Integrated/On-Board Graphics,2.80 GHz,Black,Intel Iris Xe Graphics,2020,Lenovo,Intel Core i7 11th Gen.,512 GB,"ILS 2,301.00",14 in,16 GB,1920 x 1080
Windows 11 Home,Dedicated Graphics,3.30 GHz,Phantom Blue,NVIDIA GeForce RTX 3050,2022,Lenovo,AMD Ryzen 5,512 GB,"ILS 2,245.05",15.6 in,8 GB,1920 x 1080
Windows 10 Pro,Dedicated Graphics,2.60 GHz,Gray,NVIDIA Quadro T2000,2022,Dell,Intel Core i7 10th Gen.,1.5,"ILS 2,214.55",15.6 in,16 GB,1920 x 1200
Windows 10,Dedicated Graphics,2.10 GHz,Black,NVIDIA GeForce GTX 1660 Ti,2019,ASUS,AMD Ryzen 7,512 GB,"ILS 2,214.55",15.6 in,16 GB,1920 x 1080
Windows 10 Pro,Dedicated Graphics,2.60GHz,Gray,NVIDIA Quadro T1000,2021,Dell,Intel Core i7 10th Gen.,512 GB,"ILS 2,214.55",15.6 in,16 GB,1920 x 1200
Windows 11,Dedicated Graphics,"2.4 GHz Base, Up to 4.2 GHz",Black,Intel UHD Graphics,2022,Dell,Intel Core i5-1135G7,Up to 1TB,"ILS 1,768.24",15.6 in,up to 32 GB,1920 x 1080
Windows 10 Home,Integrated/On-Board Graphics,2.80 GHz,Silver,Intel Iris Xe Graphics,2021,LG,Intel Core i7 11th Gen.,1 TB,"ILS 2,044.20",16 in,16 GB,2560 x 1600
Windows 11 Home,Integrated/On-Board Graphics,2.90 GHz,Silver,Intel Iris Xe Graphics,2021,LG,Intel Core i7 11th Gen.,1 TB,"ILS 2,282.69",17 in,32 GB,2560 x 1600
Windows 10 Home,Dedicated Graphics,2.30 GHz,Black,NVIDIA GeForce RTX 2060,2019,Acer,Intel Core i5 8th Gen.,256 GB,"ILS 2,301.00",15.6 in,8 GB,1920 x 1080
Windows 10 Pro,Dedicated Graphics,3.10 GHz,Silver,AMD Radeon 4GB GPU,Seller Refurbished: 2022,Dell,Intel Core i7 8th Gen.,256GB,"ILS 2,040.80",15.6 in,16 GB,1920 x 1080
Windows 11 Home,Integrated/On-Board Graphics,"3.30 GHz, Up to 4.4 GHz Turbo Boost",Silver,Intel UHD Graphics,2022,Dell,Intel Core i5 12th Gen.,512 GB,"ILS 2,087.63",14 in,8 GB,1920 x 1200
Windows 11 Home,Integrated/On-Board Graphics,2.00 GHz / 4.50 GHz,Silver,AMD Radeon,2022,Dell,AMD Ryzen 7 5825U,1 TB,"ILS 2,040.80",16 in,16 GB,1920 x 1200
Windows 11,Dedicated Graphics,2.50 GHz,Black,NVIDIA GeForce GTX 1650,2022,MSI,Intel Core i5-11400H,256 GB,"ILS 2,074.87",15.6 in,8 GB,1920 x 1080
Windows 10 Home,Integrated/On-Board Graphics,2.40 GHz,Silver,Intel Iris Xe Graphics,2021,Samsung,Intel Core i5 11th Gen.,256 GB,"ILS 2,049.94",15.6 in,8 GB,1920 x 1080
Windows 10 S,Integrated Intel UHD Graphics,"3.0 GHz base, up to 4.1 GHz",Sand,Integrated Intel UHD Graphics,2021,Lenovo,Intel® Core™ i3-1115G4,up to 1TB,"ILS 1,563.81",15.6 in,up to 20GB DDR4,1920 x 1080
Windows 11 Home,Integrated/On-Board Graphics,2.40 GHz,Black,Intel Iris Xe Graphics,2021,Microsoft,Intel Core i5 11th Gen.,256 GB,"ILS 2,381.50",13 in,8 GB,2880 x 1920
Windows 10,Dedicated Graphics,2.10 GHz,Black,NVIDIA GeForce GTX 1050,2019,ASUS,AMD Ryzen 5,256 GB,"ILS 2,521.15",15.6 in,16 GB,1920 x 1080
Windows 10 Home,Dedicated Graphics,2.50 GHz,Black,NVIDIA GeForce RTX 3050 Ti,2020,Acer,Intel Quad Core i5-10300H,512 GB,"ILS 2,384.73",15.6 in,16 GB,1920 x 1080
Windows 10 Pro,Integrated/On-Board Graphics,2.40 GHz,Black,Intel Iris Xe Graphics,2021,Lenovo,Intel Core i5 11th Gen.,256 GB,"ILS 2,300.96",14 in,8 GB,1920 x 1080
Windows 10 Pro,Integrated/On-Board Graphics,4.20 GHz,Silver,* Intel® Iris® Xᵉ Graphics,2021,HP,* Intel® Core™ i5-1135G7,256 GB,"ILS 2,384.63",14 in,8 GB,1920 x 1080
not specified,not specified,not specified,Black,not specified,2021,Microsoft,AMD Ryzen™ 7 4980U,512 GB,"ILS 2,546.82",15 in,512 GB,not specified
Windows 11 Home,Integrated/On-Board Graphics,1.80 GHz,Abyss Blue Fabric Cover,AMD Radeon Graphics,2021,Lenovo,AMD Ryzen 7,512 GB,"ILS 2,555.22",13.3 in,16 GB,1920 x 1080
Windows 10 Pro,Integrated/On-Board Graphics,1.70GHz,Black,Intel HD Graphics 620,2018,Dell,Intel Core i5-8350U,256GB,"ILS 2,313.36","14""",32 GB,1366 x 768
Windows 11 Home,Dedicated Graphics,4.20 GHz,Black,NVIDIA GeForce GTX 1650,2021,HP,AMD Ryzen5 5600H,512 GB,"ILS 2,381.50",15.6 in,8 GB,1920 x 1080
Windows 10 Pro,Integrated/On-Board Graphics,4.50 GHz,Silver,AMD Radeon Graphics,2022,HP,AMD Ryzen 7 PRO 5875U,512 GB,"ILS 2,384.73",16 in,16 GB,1920 x 1080
Windows 11 Home,Integrated/On-Board Graphics,2.40 GHz,Black,Intel Iris Xe Graphics,2021,HP,Intel Core i5 11th Gen.,512 GB,"ILS 2,551.85",13.3 in,8 GB,3840 x 2160
Windows 10 Pro,Integrated/On-Board Graphics,2.40 GHz,Silver,Intel Iris Xe Graphics,2021,Microsoft,Intel Core i5 11th Gen.,256 GB,"ILS 2,381.50",12.3 in,8 GB,2736 x 1824
Windows 10,Dedicated Graphics,2.50 GHz,Black,NVIDIA GeForce RTX 3060,2021,MSI,Intel Core i5 10th Gen.,512 GB,"ILS 2,384.90",15.6 in,16 GB,1920 x 1080
Windows 11 Home,Dedicated Graphics,2.70 GHz,Black,NVIDIA GeForce RTX 3050 Ti,2021,GIGABYTE,Intel Core i5 11th Gen.,512 GB,"ILS 2,349.10",15.6 in,8 GB,1920 x 1080
Windows 11 Pro,Integrated/On-Board Graphics,1.80 GHz,Black,Intel Iris Xe Graphics,2021,Lenovo,Intel Core i5 11th Gen.,512 GB,"ILS 2,381.50",12.3 in,16 GB,1920 x 1280
Windows 11 Home,Dedicated Graphics,4.2GHz,Gray,NVIDIA® GeForce® GTX 1650,2021,HP,AMD Ryzen™ 5 5600H,512 GB,"ILS 2,535.66",16.1 in,32 GB,1920 x 1080
Windows 11 Home,Integrated/On-Board Graphics,2.80 GHz,Black,Intel Iris Xe Graphics,2022,Dynabook,Intel Core i7 11th Gen.,512 GB,"ILS 2,316.73",15.6 in,16 GB,1920 x 1080
Windows 10,Integrated/On-Board Graphics,4.40 GHz,Platinum,Intel Iris Xe Graphics,2021,Microsoft,Core i5 11th Gen,256 GB,"ILS 2,510.14",13.5 in,8 GB,2256 x 1504
Windows 11 Home,Dedicated Graphics,2.40 GHz,Black,NVIDIA GeForce GTX 1650,2022,HP,Intel Core i5 12th Gen.,512 GB,"ILS 2,555.25",15.6 in,8 GB,1920 x 1080
Windows 11,Dedicated Graphics,1.80 GHz,Black,NVIDIA Quadro P520 2GB VRAM,2021,Lenovo,Intel Core i7 10th Gen.,1 TB,"ILS 2,316.73",14 in,32 GB,3840 x 2160
Windows 10 Home,Integrated/On-Board Graphics,4.70 GHz,Black,Intel Iris Xe Graphics,2021,LG,Intel Core i5 11th Gen.,512 GB,"ILS 2,381.50",14 in,16 GB,1920 x 1200
Windows 11 Home,Integrated/On-Board Graphics,2.80 GHz,Natural silver,Intel Iris Xe Graphics,2022,HP,Intel Core i7 11th Gen.,512 GB,"ILS 2,453.04",15.6 in,16 GB,1366 x 768
Windows 11 Pro,Integrated/On-Board Graphics,3.00 GHz,Stone Grey,Intel HD Graphics,2022,Lenovo,Intel Core i7 11th Gen.,1 TB,"ILS 2,551.85",14 in,16 GB,1920 x 1080
Windows 11 Pro,Integrated/On-Board Graphics,1.70 GHz,Silver,Intel UHD Graphics 620,2020,HP,Intel Core i5 8th Gen.,1 TB,"ILS 1,254.46",13 in,32 GB,1920 x 1080
Windows 11 Home,Dedicated Graphics,2.30 GHz,Silver,NVIDIA GeForce RTX 3050 Ti,2021,Dell,Intel Core i7 11th Gen.,1 TB,"ILS 2,844.85",15.6 in,16 GB,3456 x 2160
Windows 11 Home,Integrated/On-Board Graphics,3.00 GHz,Black,Intel Iris Xe Graphics,2021,Microsoft,Intel Core i7 11th Gen.,256 GB,"ILS 2,725.60",13 in,16 GB,2880 x 1920
Windows 10 Home,Integrated/On-Board Graphics,4.50 GHz,Blue,Intel Iris Xe Graphics,2021,ASUS,Intel Core i5 11th Gen.,512 GB,"ILS 2,793.74",14 in,8 GB,1920 x 1080
Windows 10 Home,Integrated/On-Board Graphics,4.50 GHz,Blue,Intel Iris Xe Graphics,2021,ASUS,Intel Core i5 11th Gen.,512 GB,"ILS 2,895.95",14 in,8 GB,1920 x 1080
"Home, Windows 10",Dedicated Graphics,1.80 GHz,Silver,GTX 1050,2018,Lenovo,Intel Core i7 8th Gen.,512GB,"ILS 2,895.92",15.6 in,16 GB,3840 x 2160
Windows 11 Home,Dedicated Graphics,3.30 GHz,Black,NVIDIA GeForce RTX 3070,2022,Razer,AMD Ryzen 9 6000 Series,1 TB,"ILS 2,861.88",14 in,16 GB,2560 x 1440
Windows 11 Pro,Integrated/On-Board Graphics,3.00 GHz,Gray,Intel Iris Xe Graphics,2022,Dell,Intel Core i7 11th Gen.,512 GB,"ILS 2,895.95",14 in,16 GB,1920 x 1080
Windows 11 Home,Dedicated Graphics,3.20 GHz,Blue,NVIDIA GeForce RTX 3070,2021,Lenovo,AMD Ryzen 7,512 GB,"ILS 2,677.52",15.6 in,16 GB,1920 x 1080
Windows 11 Home,Integrated/On-Board Graphics,4.70 GHz,Silver,Intel Iris Xe Graphics,2021,Framework,Intel Core i7 11th Gen.,512 GB,"ILS 2,725.60",13.5 in,32 GB,2256 x 1504
Windows 10 Home,Dedicated Graphics,3.10 GHz,Gray,NVIDIA GeForce RTX 3070,2022,ASUS,AMD Ryzen 9,1 TB,"ILS 2,725.60",15.6 in,16 GB,2560 x 1440
Windows 10 Pro,Integrated/On-Board Graphics,2.80 GHz,Black,Intel Iris Xe Graphics,2021,Lenovo,Intel Core i7 11th Gen.,512 GB,"ILS 2,884.61",14 in,16 GB,1920 x 1200
Windows 10,Dedicated Graphics,3.30 GHz,Silver,NVIDIA GeForce RTX 3060,2021,ASUS,AMD Ryzen 9,1 TB,"ILS 2,725.60",14 in,16 GB,1920 x 1080
Windows 11 Pro,Integrated/On-Board Graphics,2.70 GHz,Gray,AMD Radeon™ 680M Graphics,2022,Lenovo,AMD Ryzen 7,512 GB,"ILS 2,725.57",13.3 in,16 GB,1920 x 1200
Windows 10,Dedicated Graphics,1.30 GHz,Platinum,NVIDIA GeForce GTX 1660 Ti,2020,Microsoft,Intel Core i7 10th Gen.,256 GB,"ILS 2,722.20",15 in,16 GB,3240 x 2160
Windows 10,Hybrid Graphics,1.30 GHz,Silver,NVIDIA GeForce GTX 1650 Max-Q,2020,Microsoft,Intel Core i7 10th Gen.,512 GB,"ILS 2,715.18",13.5 in,32 GB,3000 x 2000
Windows 11 Home,Dedicated Graphics,3.30 GHz,Black,NVIDIA GeForce RTX 3060,2021,Lenovo,AMD Ryzen 5 5000 Series,512 GB,"ILS 2,677.48",15.6 in,8 GB,1920 x 1080
Windows 11 Home,Dedicated Graphics,3.00 GHz,White,NVIDIA GeForce RTX 3060,2021,ASUS,AMD Ryzen 9,1 TB,"ILS 2,725.60",14 in,16 GB,1920 x 1080
Windows 10 Home,Integrated/On-Board Graphics,3.00 GHz,Black,Intel Iris Xe Graphics,2020,Lenovo,Intel Core i7 11th Gen.,512 GB,"ILS 2,827.78",14 in,16 GB,3840 x 2160
Windows 11 Home,Integrated/On-Board Graphics,4.70 GHz,Silver,Intel Iris Xe Graphics,2021,Framework,Intel Core i7 11th Gen.,500 GB,"ILS 2,725.60",13.5 in,16 GB,2256 x 1504
Windows 10 Home,Dedicated Graphics,3.30 GHz,Grey,NVIDIA GeForce RTX 3060,2021,ASUS,Intel Core i7 11th Gen.,1 TB,"ILS 2,886.71",15.6 in,16 GB,1920 x 1080
Windows 11 Pro,Dedicated Graphics,2.60 GHz,Silver,NVIDIA GeForce GTX 1650,2020,Dell,Intel Core i7 10th Gen.,512 GB,"ILS 2,824.41",15.6 in,16 GB,1920 x 1200
Windows 11 Pro,Integrated/On-Board Graphics,2.60 GHz,Silver,NVIDIA GeForce GTX 1650,2019,Dell,Intel Core i7 9th Gen.,256 GB,"ILS 2,719.36",15.6 in,16 GB,3840x2160
Windows 10,Dedicated Graphics,2.60 GHz,Black,NVIDIA GeForce RTX 2070,2020,ASUS,Intel Core i7 10th Gen.,512 GB,"ILS 2,725.60",15.6 in,16 GB,1920 x 1080
Windows 10,Dedicated Graphics,4.50 GHz,White,NVIDIA GeForce RTX 2060,2019,Alienware,Intel Core i7 9th Gen.,512 GB,"ILS 2,895.95",15.6 in,16 GB,1920 x 1080
Windows 11 Pro,Integrated/On-Board Graphics,3.40 GHz,Graphite,Intel Iris Xe Graphics,2022,Samsung,Intel Core i7 12th Gen.,512 GB,"ILS 2,719.36",14 in,16 GB,1920 x 1080
Windows 10 Pro,Dedicated Graphics,2.70 GHz,Silver,Nvidia Quadro P1000M,2018,HP,Intel Xeon,250 GB,"ILS 2,865.79",15.6 in,32 GB,1920 x 1080
Windows 10,RTX 2060,2.60 GHz,Black,NVIDIA GeForce RTX 2060,2020,Razer,Intel Core i7 10th Gen.,512 GB,"ILS 2,928.54",15.6 in,16 GB,1920 x 1080
Windows 10 Home,Dedicated Graphics,3.30 GHz,Black,AMD Radeon RX 6800M,2021,ASUS,AMD Ryzen 9,1 TB,"ILS 2,928.54",15.6 in,16 GB,2560 x 1440
Windows 11 Pro,Integrated/On-Board Graphics,4.40 GHz,Black,AMD Radeon Graphics,2022,Lenovo,AMD Ryzen 7,2 TB,"ILS 2,381.50",15.6 in,64 GB,1920 x 1080 (Full HD)
Windows 11 Pro,Integrated/On-Board Graphics,4.40 GHz,platinum Silver,Intel® Iris® Xe Graphics,2022,Dell,Intel Core i7 12th Gen.,2 TB,"ILS 2,895.95","16""",64 GB,1920 x 1200
Windows 11 Home,Dedicated Graphics,Up to 4.40GHz,Mica Silver,NVIDIA GeForce GTX 1650,2022,HP,12th Gen Intel Core i5-12450H,Up to 2TB,"ILS 2,381.50",15.6 inches,Up to 64GB,1920 x 1080
Windows 10,NVIDIA GeForce GTX 1650,"3.0 GHz Base, up to 4.0 GHz BOOST",Black,NVIDIA GeForce GTX 1650,2021,Acer,AMD Ryzen 5 4600H,up to 1 TB,"ILS 2,585.92",15.6 in,up to 32 GB,1920 x 1080
Windows 11 Home,Integrated/On-Board Graphics,2.10 GHz,Silver,Intel Iris Xe Graphics,2022,Samsung,Intel Core i7 12th Gen.,512 GB,"ILS 3,134.27",15.6 in,8 GB,1920 x 1080
Windows 11 Home,Integrated/On-Board Graphics,2.10 GHz,Natural silver,Intel Iris Xe Graphics,2022,HP,Intel Core i7 12th Gen.,up to 2TB SSD,"ILS 2,981.13",15.6 in,up to 64GB,1920 x 1080
